Parameter,Protocol,Average CPU Usage (%),Total Memory Usage (Bytes),Total Disk Read (Bytes),Total Disk Write (Bytes),Network Bytes Sent,Network Bytes Received,Thread Count,Resource Handles,Duration (Seconds)
1000.0,WebSocket,6.705774278215222,85265561.19685039,6434722716,517258,552,801,17.0,505.31758530183725,10.086675
2000.0,WebSocket,5.9839050131926115,86593190.16358839,6408440127,921544,641,1957,17.0,509.3192612137203,10.095328
3000.0,WebSocket,7.652116402116402,87081285.07936507,6391531314,1325440,996,2341,17.0,513.3201058201058,10.089966
4000.0,WebSocket,4.473581213307241,88197556.85322896,17280806886,4660286,29425,39676,16.354207436399218,517.9637964774951,30.135219
5000.0,WebSocket,1.120780487804878,88767984.51512195,17331533325,5794309,30592,40836,14.0,520.3609756097561,30.092013
6000.0,WebSocket,1.17046783625731,87799320.95126706,17348442138,6906832,31526,43096,13.882066276803119,503.98830409356725,30.082376
7000.0,WebSocket,1.1689018464528669,88068279.10592808,17399168577,8052085,34906,57188,12.477162293488824,502.89990281827016,30.123747
8000.0,WebSocket,1.88818359375,88620928.0,17314624512,9134134,44751,76612,13.0,506.7802734375,30.096301
9000.0,WebSocket,0.8005847953216374,89409671.73489279,17348442138,10244866,45993,77931,13.0,512.3586744639376,30.107784
10000.0,WebSocket,1.3638318670576735,89922042.49462366,17297715699,11321551,60498,108745,13.0,516.3607038123167,30.110778
1000.0,MQTT,11.8207100591716,90144162.08284023,8572768191,6149403,60498,108745,14.0,762.8343195266273,2.994111
2000.0,MQTT,11.387824351297406,90263552.0,8471315313,6451878,60498,108805,14.0,685.2135728542914,2.774174
3000.0,MQTT,10.009780439121757,90327387.46506986,8471315313,6824622,60798,108805,14.0,1059.506986027944,2.765134
4000.0,MQTT,8.969860279441116,90479192.91017964,8471315313,7200873,62202,117300,14.0,1281.0958083832336,2.8173
5000.0,MQTT,9.070459081836328,89936313.48502994,8471315313,7576122,62202,117300,14.0,1546.7005988023952,2.797923
6000.0,MQTT,8.553892215568862,87957577.58083832,8471315313,7952373,62244,117342,14.0,1837.5688622754492,2.800576
7000.0,MQTT,11.036926147704593,88136272.73453094,8471315313,8328624,62333,117487,14.0,1933.2275449101796,2.769618
8000.0,MQTT,9.437924151696606,89484944.09580839,8471315313,8705376,62333,117487,13.295409181636726,2428.7784431137725,2.783022
9000.0,MQTT,11.387824351297406,90691269.23752496,8471315313,9088641,62687,117977,13.802395209580839,2936.9081836327346,2.785818
10000.0,MQTT,10.802994011976049,91407644.10379241,8471315313,9472908,62687,117977,14.0,3251.692614770459,2.805401
1000.0,SFTP,12.993519441674975,92934291.01495513,17512653375,21241534,62861,118334,24.05583250249252,609.4466600199402,9.223505
2000.0,SFTP,4.090199999999999,93085696.0,19063761000,24254000,63215,118716,26.0,573.077,8.100498
3000.0,SFTP,4.717182817182817,93088036.57142857,21687725461,28327299,63215,118776,26.0,573.2047952047952,8.174763
4000.0,SFTP,4.027472527472527,93217684.58741258,25296612477,33394361,63569,119160,26.0,575.07992007992,8.143686
5000.0,SFTP,5.5882,93223718.912,29874261000,39421000,63569,119160,26.0,575.046,8.140231
6000.0,SFTP,5.3146,93335871.488,35477761000,46457000,64127,119711,26.0,575.108,8.061416
7000.0,SFTP,3.890909090909091,93347840.0,42120738645,54547493,68257,126467,26.0,575.046953046953,8.082518
8000.0,SFTP,3.5099800399201597,93347840.0,49786577930,63674094,69487,135444,26.0,575.0898203592815,8.212108
9000.0,SFTP,3.6212000000000004,93347840.0,58288261000,73603000,69487,135498,26.0,575.081,8.61916
10000.0,SFTP,4.554645354645356,93347840.0,67964275341,84733649,73972,140658,26.0,575.1298701298701,8.945156
1000.0,WebSocket,6.7825396825396815,128809382.6031746,42320335680,94798792,353,9878,17.0,517.3201058201058,10.085081
2000.0,WebSocket,3.184010152284264,129607659.20812182,44119464778,99236532,188753,5229810,17.0,521.3071065989848,10.07365
3000.0,WebSocket,2.898232323232323,119938410.02020203,44343421452,100169182,352790,12391663,17.0,517.4065656565657,10.133908
4000.0,WebSocket,2.3928505957836848,120283567.75068744,122168365667,277133318,571961,23900336,15.96333638863428,521.6911090742439,30.152889
5000.0,WebSocket,1.4834519572953737,120643835.44483986,125863650788,286749806,610223,26940970,14.0,524.376334519573,30.103655
6000.0,WebSocket,2.162154942119323,120906103.6794301,125751672451,287717626,658149,31987434,13.765805877114872,527.4220837043633,30.115866
7000.0,WebSocket,1.5806635071090047,121478554.57061611,118137145535,271454402,690178,34993340,12.469194312796208,526.6758293838863,30.109343
8000.0,WebSocket,2.35056925996205,122120059.87096775,118025167198,272360500,695067,35440146,13.0,531.0170777988615,30.105138
9000.0,WebSocket,2.7762631077216398,122588649.0600572,117465275513,272206780,728948,38041724,13.0,536.3641563393709,30.087041
10000.0,WebSocket,1.683453887884268,123257535.6528029,123848040722,288202292,747109,38522507,13.0,540.3562386980109,30.087444
1000.0,MQTT,4.938506876227898,123329175.88998036,56996973533,133177778,759810,40234791,14.0,606.0805500982318,3.284212
2000.0,MQTT,5.602994011976048,119369728.0,56101146837,131463903,763930,40691043,14.0,560.1197604790419,2.998597
3000.0,MQTT,7.591816367265469,119390208.0,56101146837,131839653,763930,40691043,14.0,556.9081836327346,3.018891
4000.0,MQTT,4.62754491017964,119390208.0,56101146837,132215403,763984,40691170,14.0,641.5229540918164,3.051555
5000.0,MQTT,6.200998003992017,119399822.56287426,56101146837,132590652,764445,40692005,14.0,675.2934131736527,3.036207
6000.0,MQTT,5.39500998003992,119414179.00199601,56101146837,132969909,764487,40692047,13.463073852295409,643.4331337325349,3.131906
7000.0,MQTT,6.616966067864272,119108565.0778443,56101146837,133355679,764541,40692265,13.758483033932135,537.2435129740519,3.545341
8000.0,MQTT,2.8956087824351298,119013376.0,56101146837,133741449,771538,40698643,14.0,525.8303393213573,3.591811
9000.0,MQTT,5.2,119013376.0,56101146837,134117700,771538,40698643,14.0,528.1656686626746,3.565172
10000.0,MQTT,5.212974051896208,119013376.0,56101146837,134486937,771892,40699025,14.0,527.8323353293413,3.548565
1000.0,SFTP,8.383516483516486,120533884.03596404,112642753625,270976706,787985,41207572,24.963036963036963,581.3286713286714,10.675578
2000.0,SFTP,5.2234,120870346.752,114133285000,273789000,805440,42815722,26.0,585.901,8.913738
3000.0,SFTP,5.383150548354935,120966955.6450648,117088666859,278664493,805968,42817316,26.0,587.2362911266201,9.692294
4000.0,SFTP,7.1122000000000005,121089990.656,120340285000,282898000,815769,43037200,26.0,587.18,9.086869
5000.0,SFTP,4.8131,121094144.0,124943785000,288951000,816124,43038946,26.0,587.233,8.929989
6000.0,SFTP,4.566167664670659,121097275.27345309,130808306322,296582982,816268,43041662,26.0,587.2425149700599,9.751602
7000.0,SFTP,1.8999000999001001,121102336.0,137291434505,304363059,816886,43042548,26.0,587.1168831168832,9.186608
8000.0,SFTP,0.8067932067932068,121102336.0,144902981881,313434121,825328,43049935,26.0,587.085914085914,8.559073
9000.0,SFTP,0.4094810379241517,121199389.1257485,153660968218,323828364,826102,43057959,26.0,587.1457085828343,9.487886
10000.0,SFTP,3.1378243512974056,121391484.16766468,163283337738,334919502,833319,43152228,26.0,587.1546906187625,9.964305
1000.0,WebSocket,4.329629629629629,128842811.5978836,42320336814,94798792,497,11431,17.0,517.3201058201058,10.080671
2000.0,WebSocket,6.113297872340425,129528091.23404256,42103855840,94702494,960,16579,17.0,521.3218085106383,10.071709
3000.0,WebSocket,3.5753315649867377,120701829.7718833,42215834180,95361168,1477,17784,17.0,517.4270557029178,10.129902
4000.0,WebSocket,3.2288252714708783,120184803.69595261,113434058420,257307990,5825,33559,15.66436327739388,521.5064165844028,30.125305
5000.0,WebSocket,1.1054794520547948,120471616.12524462,114441863480,260714210,6949,37477,14.0,524.3610567514677,30.122506
6000.0,WebSocket,1.0184313725490195,121000048.43921569,114217906800,261308692,7956,41343,13.638235294117647,526.9411764705883,30.096966
7000.0,WebSocket,1.6502453385672227,121611397.65260059,114105928460,262170192,8753,50724,12.438665358194308,526.3621197252209,30.084411
8000.0,WebSocket,1.507632093933464,122054680.04696673,114441863480,264063076,11472,85665,13.0,531.2436399217221,30.112011
9000.0,WebSocket,1.0921259842519684,122675574.92913386,113769993440,263613322,19961,122386,13.0,536.3612204724409,30.121518
10000.0,WebSocket,1.6840664711632454,123362030.73313783,114553841820,266540614,20669,126373,13.0,540.3607038123167,30.103112
1000.0,MQTT,10.857396449704144,123321657.05719921,56773018380,132637755,20669,127058,14.0,720.9625246548324,3.077106
2000.0,MQTT,7.812974051896208,119529463.8243513,56101148340,131446368,20669,127142,14.0,771.0838323353294,2.808246
3000.0,MQTT,7.786626746506987,119661426.97005989,56101148340,131823621,20758,127371,14.0,1290.8303393213573,2.802345
4000.0,MQTT,10.00998003992016,120190097.11776447,56101148340,132201876,20758,127455,14.0,1870.2854291417166,2.796845
5000.0,MQTT,10.620359281437127,120574352.60678643,56101148340,132580131,21111,127838,13.590818363273453,2392.393213572854,2.80514
6000.0,MQTT,7.630738522954092,120813269.58882235,56101148340,132964899,25091,132988,13.50499001996008,2871.938123752495,2.814511
7000.0,MQTT,7.643912175648701,120924335.7764471,56101148340,133349166,26409,134601,14.0,3329.5349301397205,2.801741
8000.0,MQTT,8.41057884231537,121447969.7245509,56101148340,133726920,32643,160153,14.0,3787.0419161676646,2.862006
9000.0,MQTT,11.53053892215569,122070847.87225549,56101148340,134104173,32643,162873,14.0,4152.169660678643,2.813346
10000.0,MQTT,10.556087824351298,122826245.10978045,56101148340,134482428,32643,162873,14.0,4652.8443113772455,2.804023
1000.0,SFTP,6.885856573705179,124237309.96015936,112979105648,271785812,33104,166886,24.311752988047807,694.8456175298804,9.152902
2000.0,SFTP,2.2534,124391464.96,114133288000,273782000,39410,173927,26.0,585.201,8.12032
3000.0,SFTP,1.2244000000000002,124399616.0,116736788000,277819000,39464,175347,26.0,587.133,8.218059
4000.0,SFTP,1.0942,124478562.304,120340288000,282868000,39818,180215,26.0,587.16,8.236973
5000.0,SFTP,3.7906,124481536.0,124943788000,288906000,39927,183429,26.0,587.079,8.201323
6000.0,SFTP,4.213900000000001,124482932.736,130547288000,295943000,40446,185385,26.0,587.074,8.427242
7000.0,SFTP,5.8161000000000005,124489728.0,137150788000,303993000,40543,191959,26.0,587.069,8.342764
8000.0,SFTP,4.985528942115768,123396729.61277445,145039606808,313668084,59178,200561,26.0,587.1007984031936,8.373302
9000.0,SFTP,3.5851148851148853,123338752.0,153511186756,323430107,59286,202843,26.0,587.2207792207793,8.983774
10000.0,SFTP,5.500000000000001,123338752.0,163455299644,335169501,59695,204235,26.0,587.1864406779661,8.941553
